Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
14014,50452,50386,13667,2400,920,612,792
1549,9377,33636,33807,9081,1630,654,831
934,1395,618,576,1383,5584,21044,41007
994,1823,10103,37461,38190,11602,1108,1087
745,906,722,487,1095,4580,17672,34503
938,1267,895,691,1023,1355,644,1076
1117,8300,26506,26692,7139,1726,516,1033
11823,42873,42018,11652,1913,1584,715,711
1112,11047,38339,38216,10605,1686,927,661
1197,1422,587,589,1655,7950,33411,34224
40814,41338,15159,2266,1165,1077,362,1583
745,718,242,519,1020,8096,26902,26588
829,1209,981,3518,19196,54331,65535,61468
13744,49552,49018,13425,2072,673,765,999
520,1800,13005,48603,49010,13352,1569,1210
736,1148,622,935,776,4998,18967,36871
975,2427,15221,58129,58881,16075,1588,919
41497,41920,14988,2792,330,908,838,756
609,1149,526,308,869,1502,525,727
1211,1524,4408,15140,30425,31231,16118,4446
809,953,829,670,811,10623,44528,45436
914,9113,31107,31085,8322,1707,1081,742
756,1386,460,457,539,5735,21892,43475
621,1417,756,518,867,4248,16348,30863
35045,34973,13230,2516,1378,1176,607,1143
1308,8970,30954,31163,8462,2404,582,420
61139,62212,26471,17633,28184,28481,14518,4839
973,1684,4780,15593,31014,31044,15722,5040
1067,763,631,3194,17363,41122,40767,17527
643,1111,767,5280,28366,65535,65535,28817
836,1634,3270,11710,22990,23672,12432,3641
51705,51383,19326,3266,1256,1245,802,757
588,1409,349,437,1213,1629,408,1169
977,544,712,490,1318,5345,20815,40990
1426,1197,683,323,1383,5254,20257,39389
1435,8588,31492,32010,8133,2337,685,1473
48886,49398,18050,2708,931,1230,769,426
1579,10518,35553,35522,9635,2178,218,1420
1255,1156,1115,804,770,9792,39297,39414
1015,1179,1126,4650,27287,65535,65535,27607
39250,40998,31052,65535,65535,17864,2147,776
869,1784,10599,41804,42289,11613,1842,1296
60386,60742,22677,3145,602,1474,732,880
1006,1886,3976,14583,28417,29979,14917,4917
819,1902,11879,44771,44912,12723,1662,1165
882,1011,178,377,1121,709,875,904
38134,38654,14054,2325,1370,1447,1146,810
56962,58073,32472,46882,43941,12075,1124,1044
1031,1194,369,158,1007,1815,580,936
11395,41214,40343,11314,2024,7040,29413,29390
572,1712,3984,13686,27163,26697,14140,3934
47777,48593,18130,3070,1134,1551,739,1136
909,1588,664,719,1016,4356,19708,39951
13233,46291,46006,12563,1399,1556,328,887
49787,50507,23956,21768,38766,39061,19939,5665
645,1260,910,371,1711,10712,41817,42113
16096,57039,56750,15433,1819,868,802,1148
755,1862,734,804,1160,5556,20896,40557
1110,9053,31092,30869,8783,2036,779,846
1167,1155,281,341,1640,7202,27065,26966
790,1047,596,455,1170,8611,32045,32438
15820,58424,58034,15568,2162,1584,380,955
458,1539,5364,18157,35235,35903,18121,5504
1108,1469,938,342,625,1232,671,1038
966,899,260,707,1289,1430,704,660
506,2632,14877,54884,55200,15817,1670,1527
620,984,394,668,1708,4221,15940,30902
1419,913,786,4623,25912,63034,62565,26360
1169,1416,687,609,873,6857,25942,26386
545,1132,764,680,1020,1179,650,1103
597,1112,277,683,1611,3987,15957,32117
707,1813,718,3470,17915,41974,41091,17364
11127,39779,39360,11027,1952,890,667,796
1100,1497,3384,11199,22768,22911,11376,3980
15309,54637,54634,15113,1767,1933,822,630
1004,1304,233,289,944,1480,627,913
648,1291,688,286,1243,1638,98,1301
434,1202,750,4403,23811,58777,58353,23926
597,1834,5362,19450,38275,38522,19695,6307
745,1791,4077,13742,27117,27297,13959,3951
656,1941,11459,42417,43118,12106,1524,872
565,2513,16329,61580,62499,16990,1841,1037
882,1191,551,462,985,5274,19057,38104
1064,474,1034,417,1027,9962,41567,42019
791,899,463,58,921,4210,16090,30778
925,2124,4773,16365,31908,33837,16613,5370
953,1568,5905,19412,39320,43004,38941,43028
1014,804,689,657,1197,9571,38127,38841
9883,33663,32441,9535,1523,846,668,855
11566,45787,65535,40060,9207,1973,562,1337
1208,9736,35222,35328,10089,4901,16300,32672
818,1433,4652,15981,31673,32056,15952,5069
739,1369,358,919,1029,7294,27861,28577
782,1492,4073,13230,25794,27140,13426,4355
957,1925,12994,50907,50623,14468,1326,889
1416,6769,23878,24050,7230,1825,629,850
57006,58308,21828,3314,1397,1074,690,905
772,2275,16176,62111,62838,17002,1894,1181
628,1201,774,424,662,1744,596,1156
859,1382,405,494,882,1577,476,556
650,2419,13517,51808,51746,14011,1692,1282
758,1307,441,415,1189,4592,19079,37521
430,1318,623,386,1240,1559,1154,1261
863,1334,423,548,868,11198,44874,45669
744,1744,979,4624,26961,65018,64826,27040
1027,1120,270,430,1067,10165,41297,41597
838,1194,829,17,944,1295,351,916
47142,47574,17767,6816,25378,61325,60924,25207
354,1097,239,269,911,4446,17055,34865
596,2216,15242,57343,57736,16544,1555,1171
714,1283,479,623,885,3941,15697,31421
63362,63901,23128,3238,1086,723,867,506
528,1585,574,480,1282,5913,23627,45576
934,1300,4628,18232,49929,65535,65535,26396
1470,11181,37358,38482,10902,2425,1002,1019
1156,2540,19701,65535,65535,49781,19041,5199
698,1291,921,3733,19979,49761,49479,21030
666,1124,494,208,718,1670,696,1319
894,1476,354,818,1080,1704,444,972
57300,57584,21523,3563,993,1676,548,968
584,1432,3965,13893,27847,27530,14456,4695
11951,43530,42666,12002,1213,1215,921,1383
1173,10272,35661,35307,9691,2016,798,1154
1038,2377,15389,57881,57619,16290,1160,955
10014,34716,34025,9232,1564,1544,718,1197
799,2132,5225,18770,37460,37711,18771,6060
1150,1678,227,259,625,1742,712,1652
972,1498,4269,15044,29456,29464,15418,4922
16684,59334,58526,15956,1886,1449,800,698
417,1298,1144,675,1465,4197,17091,32879
43508,43807,16110,2601,892,1820,725,1078
1125,2322,11501,43321,43929,12105,1168,976
854,904,426,628,1570,7788,32368,32507
1075,1501,394,834,1281,11351,44693,45968
11245,38917,38385,10251,2195,9299,36602,36313
53389,53794,19505,3397,1654,1233,510,1543
1204,1911,12807,47724,47767,13339,1897,1123
1184,1027,1044,5218,29463,65535,65535,29496
1429,11295,38785,38595,10826,1821,527,1265
1062,1927,14051,54052,54391,15430,1989,929
597,1800,5026,20287,54747,65535,65535,25781
9738,36595,35212,9916,1748,1595,839,354
727,2281,4488,16204,31267,31246,16082,5280
642,1584,363,744,1106,1996,830,904
783,2053,17172,65535,65535,18751,2158,1443
1097,2150,12756,47513,47489,12775,1713,1390
1214,7164,24285,24137,6900,8667,30085,30615
62185,61861,23126,3615,1511,4299,17691,35048
1440,10071,37119,39779,28840,49037,47910,20210
1087,1222,398,546,592,1036,523,1302
14405,54366,52996,14540,1941,944,271,903
1193,7778,28002,27790,8006,1761,624,778
652,2042,3263,11401,23324,23235,12090,3765
891,1372,647,4088,20690,49720,48985,20477
12785,45600,45911,12693,1877,8044,31491,31886
65535,65535,65535,16623,2080,1504,422,982
798,879,640,719,1195,6922,25506,26380
14826,52838,51859,14124,1935,1644,860,956
515,1383,744,4202,24888,60044,59504,24640
760,2177,3398,11731,22974,23700,11671,4006
763,1034,894,3443,19706,48389,46893,20374
782,1451,752,529,907,1653,506,432
710,1820,4560,15715,30558,30271,15584,4781
1105,995,782,435,1051,8176,30799,31710
1004,2098,5991,20825,40781,40285,20717,6180
34296,34755,13492,2231,1447,1379,814,1076
51293,51985,19420,3063,1445,1456,873,1060
808,816,153,488,761,1021,574,863
680,2139,4301,15031,29348,29080,14631,4737
13740,48673,48130,13076,2188,4220,14218,27307
1400,7879,26929,26562,7664,1801,834,1432
871,2015,5651,22981,62170,65535,65535,30770
789,1393,862,4360,24293,59582,58575,23902
49529,50441,18647,2924,1200,1909,773,1813
1292,917,744,4746,26308,63461,62289,25530
741,1249,997,566,1754,10350,42301,42952
665,826,564,737,1097,1422,617,1026
931,1151,760,469,750,4825,18823,37594
300,1612,691,499,1168,1351,1124,1204
849,1868,511,163,1032,4850,18009,35199
960,1304,623,681,857,4660,15309,30965
610,2296,15127,59576,59294,16494,1625,1082
10518,36606,35931,10207,1884,2044,927,1499
957,1868,16528,62347,63331,16666,1979,524
768,1161,453,619,1248,1194,249,956
14127,50568,50410,13805,2079,7645,32735,33036
941,1633,11300,43096,43601,11535,1418,1022
940,1651,5244,17766,33935,35067,17449,5361
836,820,953,303,1438,13625,58816,65535
872,2036,4669,16975,33908,42541,55874,43925
1059,1157,886,4771,28025,65535,65535,28951
894,1006,381,609,1701,4314,18690,37257
986,1609,9905,38753,39825,19840,40197,40156
36469,37229,13983,2216,715,1688,243,1064
1659,11348,40588,40762,11370,1711,583,1187
959,1850,5441,17314,33460,34181,17438,5794
946,1200,422,486,1479,1565,742,1257
50628,50320,18957,2586,926,1326,389,808
681,1272,3761,12514,24173,24830,12459,3968
1219,10372,51522,65535,65535,17885,1374,1724
390,1722,3772,12709,25224,25867,12478,3945
804,584,845,3059,17504,43314,42017,17905
727,1244,3554,11701,22790,24020,12075,3447
941,1302,1035,4359,23531,56481,55775,23508
1102,1155,803,663,1121,5418,22982,44406
635,2424,13600,52169,52995,14709,1402,576
1065,1159,666,652,1139,8418,31794,32017
15347,53513,53117,14543,2724,1561,455,960
1396,10130,38596,38331,10614,2841,1217,1323
869,1724,13748,51191,51713,14365,1380,862
1133,1776,16323,61805,62252,17092,2014,1003
812,1194,1086,3651,21323,51284,50993,21571
44302,44224,16164,2771,1234,1542,655,1156
810,1031,565,758,1138,6487,25280,25965
627,2029,3652,12379,25190,25098,12910,3900
10960,38206,36813,10922,1665,2230,753,1231
832,644,737,238,1343,8926,34044,34035
622,2162,16727,64279,65134,17620,1839,1012
59974,60385,22724,6795,21234,50091,49613,20222
771,1766,1172,3015,18405,45006,43729,18577
719,841,523,544,994,7518,26670,26578
708,1526,680,795,1338,9455,39183,39512
50156,50907,18712,3055,839,1539,624,897
1601,9689,36576,50523,45372,37934,18384,5872
16407,59724,58744,16257,2044,1767,667,1155
1121,10093,35035,34849,9298,1331,778,967
879,8524,29814,29990,8334,1981,362,830
494,1027,561,638,1099,948,1108,1160
1106,943,359,391,1208,8681,38371,38501
772,9809,33201,33142,8706,1904,404,1217
320,1247,937,567,956,4436,17786,35274
879,2153,11864,44405,44989,12447,1501,1214
1657,11478,40662,40790,11153,2805,834,921
1416,10969,37268,37216,10699,1996,298,1503
11867,40594,40149,11129,1910,1028,1107,1364
1217,11854,40931,40856,10523,1472,472,989
1021,1746,1080,772,1000,1714,838,806
972,2354,16268,62812,63282,17362,1320,1451
869,1160,867,3918,21410,51372,50594,21053
969,1341,529,232,1243,1294,527,973
61260,61498,22821,3514,1236,1160,520,981
509,1465,682,4313,25078,60879,59309,25259
766,1044,1020,4117,24117,58689,57574,23981
1282,7951,29138,29263,7965,1998,684,1219
654,1377,765,290,902,814,698,961
60374,61174,22446,3377,1133,1411,434,901
661,1622,357,530,1279,4354,17133,32768
650,1017,498,329,1432,10289,37233,37806
45551,46147,17179,2509,833,1176,1139,1347
56166,56030,20335,3198,1279,481,430,853
638,1388,651,829,1004,1225,751,939
1052,2434,16624,63716,64445,17442,1773,795
501,1106,841,789,840,6977,26638,27804
1221,8780,27812,27901,7660,4882,16879,33902
1214,8616,30177,29723,8091,2022,707,969
592,1488,613,588,1051,6558,27166,27759
1351,10822,39386,39521,11209,2087,425,1296
902,1478,4263,16295,31377,32629,16461,4548
819,709,1027,3812,21129,51529,50984,21439
682,1070,863,629,1196,7977,32047,31386
848,1739,710,785,1436,11066,42569,42857
13359,47710,47253,12532,1525,1062,617,1139
34785,35560,13057,2171,640,1731,898,1053
10280,36598,35989,10271,1759,1693,661,990
54172,54134,20064,3202,1232,1776,482,675
663,1629,13283,51405,52297,14745,1698,1195
10980,38475,38301,10616,1785,743,739,979
826,1858,5132,17576,34508,35146,17678,4968
477,1523,14348,54367,54659,15040,1649,1349
14788,53194,52003,14815,1713,1601,1010,1472
652,1157,680,334,1293,5645,22955,44700
1217,9975,34330,34247,9665,1708,783,1169
1269,1689,4823,16517,32370,33128,16403,4639
15406,55211,54828,15113,2280,1329,195,1219
1387,8504,29962,30355,8350,2245,977,895
1117,2169,4514,15556,30810,32431,16012,4803
46085,45937,16844,2871,735,1619,855,775
159,1254,888,4764,26809,65535,65030,27236
772,1179,1026,3676,21697,52094,51571,21695
1066,2564,15136,58523,59238,16953,1474,1445
838,1258,863,3223,18878,45406,45000,18693
813,1437,614,450,1469,8182,32814,33258
707,1328,717,365,802,1403,497,889
1193,7782,25815,25247,7639,1449,607,1138
727,1622,456,602,1183,3663,14428,29512
832,1133,568,555,1304,5753,21923,43674
12940,45457,45492,12614,1856,1814,663,1097
1538,10969,39429,39092,10933,1612,917,856
1024,950,945,4184,22459,54517,53613,22829
958,2597,16367,63368,65535,43019,16939,5176
1140,10660,37964,37584,10128,1333,79,1100
591,1783,5499,18140,36199,36053,18137,5298
987,1000,874,4470,25097,61883,61887,25554
588,1701,10728,39731,40234,11366,1947,1077
38791,39285,14926,2533,628,2020,655,846
59578,59738,22022,3495,1192,985,264,1001
1040,1690,360,686,1296,5203,20816,41455
1044,1257,455,613,1044,1393,1036,914
539,1206,556,578,1909,10942,45270,45421
1299,10748,39615,39949,11151,1757,886,1021
1108,1916,886,4514,27690,65179,64389,26517
13437,49639,48890,13581,1723,1438,464,1184
9858,35035,34706,9495,1305,1161,290,1223
1429,1494,418,5007,26843,65535,65535,57944
1101,6608,23128,23430,6715,1602,615,227
782,1100,801,4274,21156,51327,51398,21161
1149,985,677,3329,17386,41120,41447,17428
674,1832,3790,12103,22989,23765,11958,3478
1267,2673,16041,60833,60860,16536,1719,915
1020,1836,4663,16686,32168,32226,16365,4965
49213,49390,18064,2745,1022,903,850,885
1264,9403,35241,35069,9689,1602,911,787
936,981,622,435,668,841,1034,419
457,1211,1163,4367,23361,56789,56441,23756
882,1194,354,677,815,2031,771,1089
1070,8692,30737,30762,8760,2681,456,1306
1025,1427,662,3717,21430,50864,49868,21048
1539,9900,37887,37241,10286,1944,865,940
1219,2058,5544,17542,34864,35597,17935,5044
1184,1376,1165,3592,19064,47089,46079,19949
906,1860,12234,45339,45815,13264,1211,1028
10252,38060,37248,9962,1503,1423,861,1273
648,1060,334,379,532,5174,19120,36869
851,1194,485,334,1563,4754,19191,37551
1230,7149,23103,22689,5994,2375,753,870
50415,50040,18861,3080,962,1246,664,553
795,1474,599,410,1446,10035,42669,42766
57301,57276,21121,3501,1001,993,519,898
991,1353,324,784,1173,7226,28937,28679
734,1303,5229,17737,35467,35730,18362,5744
49158,65535,62768,15155,2149,1304,500,1491
892,2219,12452,48472,48887,13594,1828,1046
1024,1931,3946,13101,26187,26686,13536,4349
1292,1097,985,4258,24707,59986,59016,24747
1163,2125,10192,37962,38398,11652,1444,1897
14135,51766,51352,14267,2201,10010,41195,41261
419,1736,683,663,830,766,787,617
16484,59734,58482,15777,1370,1237,628,1022
12467,45525,44926,12234,1938,1224,849,689
938,1316,1031,5499,28510,65535,65535,28597
415,1378,667,622,1245,7211,28198,28611
757,1245,661,502,877,4319,13604,25831
1001,948,499,362,1402,10468,43265,42815
823,1528,4052,13012,25988,26163,13239,4041
516,1741,13754,52719,52993,13856,1155,963
15044,56245,54441,14828,1919,1852,701,1555
734,1334,808,601,658,1464,845,1363
904,1721,14953,57262,57660,15852,1890,1211
1713,11572,41170,40953,11491,1632,576,1452
599,1618,10645,40786,40807,11647,1043,842
12841,45519,44655,12294,1749,1854,735,924
784,1308,889,3603,20513,49073,49105,20206
1229,1289,781,463,1067,10607,41591,41434
1130,7242,23584,24003,6683,1849,1393,948
668,1394,5012,16013,32056,33005,16177,5546
9450,35728,34037,9432,2106,1298,871,1170
808,1697,744,851,1291,10961,44344,44364
1668,6729,23210,22964,6799,1784,868,789
52708,65535,65535,17007,1620,1262,929,733
1020,1372,656,624,1505,9085,34793,35791
701,1299,826,4704,25318,63239,62752,25853
1458,1249,221,558,994,1409,481,1228
49166,49610,18495,2586,1134,1278,658,874
1038,9742,44274,65535,56695,14229,1311,1024
645,1383,534,665,1498,10385,41369,41891
10214,37886,49985,61850,53962,14649,1562,1409
867,1767,10502,41057,41348,11379,1280,850
12695,44975,44430,12281,2043,1755,553,1872
846,1077,499,422,1108,8043,29730,29718
13999,48884,48584,13356,1469,1420,551,1134
40906,42032,27618,50919,48721,12861,1697,1306
1298,7052,24117,23894,7082,1780,723,948
1061,8111,27088,27143,7542,2048,485,426
57449,57483,21238,3622,1069,2047,811,1320
895,1021,822,4434,23608,57629,56520,23003
1353,1455,463,556,489,803,522,774
340,1775,3887,13877,27571,27336,13998,4537
978,1608,630,3923,21649,52737,51987,22095
12335,43864,43090,11896,1784,1363,553,1035
1012,1310,799,538,1153,11132,45627,45917
14807,55104,57438,32929,37458,36689,18984,5282
44221,44353,16140,2395,843,1454,398,1080
997,989,683,2838,16856,40403,40178,15960
701,6724,22820,22823,6645,1474,830,1210
1028,1009,1128,3293,17416,42600,41707,17367
1110,1830,4905,18533,35788,36049,18442,5179
1040,2133,5572,19191,37446,38652,19146,6340
821,760,668,667,558,4418,16109,31690
54307,54555,20332,2903,902,1188,893,1498
761,1346,380,779,1267,10271,42562,42645
653,1434,824,3728,20410,49697,48922,19958
13953,50147,49900,13369,1753,1359,809,1019
1276,11314,41576,40410,11304,2416,1060,1326
35280,35922,13488,1923,391,1447,650,799
582,941,857,262,579,7022,28899,29336
60913,61524,25811,17744,29509,29992,15168,4752
738,1468,401,523,1085,7940,28258,28387
12699,45217,45456,12493,1520,1375,828,742
721,815,571,460,1238,4827,21982,42887
1128,1277,761,774,592,1995,977,355
869,1097,363,522,1762,4428,14737,28701
1034,1696,500,202,1738,7407,29547,30067
465,1122,651,426,1143,973,1042,691
923,1895,516,386,1371,8011,32218,32125
1232,7482,25833,25387,7486,1154,479,516
695,1118,599,597,1360,6534,25274,25361
1397,11567,40510,40793,11144,2602,438,1093
840,669,819,4928,27366,65535,65535,26799
702,1495,1037,4665,26702,64110,64629,26668
649,1858,13400,51996,52836,15078,1506,807
38411,40142,26398,49451,47721,12939,1222,747
990,2021,4550,15780,31249,32262,16102,5065
569,1451,589,761,1044,1934,618,1176
793,2339,10487,39170,39821,11164,1316,1111
12624,44675,43830,12468,1626,1352,422,1082
1250,1052,722,342,1052,10998,45640,45767
1267,7853,27721,27045,7441,1631,819,888
9378,33995,32800,9047,939,1434,811,1011
573,748,309,508,1320,9302,37411,38243
1151,1572,3562,11250,22784,23608,11885,3800
756,736,993,468,886,4893,17981,34819
15345,55802,54827,14598,1791,1942,1043,1491
1147,10451,35684,35231,9285,1734,540,803
631,938,657,121,1368,14802,62531,65535
808,701,495,715,1551,5772,21791,42725
1145,9187,29961,30115,8054,1652,1070,1035
59286,60045,22271,3471,1051,1441,731,950
767,1623,4604,15968,31021,31793,15555,5292
47925,48690,17691,2889,1428,1489,885,1264
1478,8100,27226,27418,7659,1827,652,1275
10525,36774,36343,10094,865,1001,546,810
861,1594,4199,13959,27761,26999,14101,4235
1026,1713,5558,19701,39138,39672,19936,6252
837,1928,560,228,747,1544,383,1002
1099,8711,31332,30883,9152,5773,17226,33369
593,1173,429,5499,29185,65535,65535,29631
831,1202,670,331,741,10186,40614,40572
693,926,1000,5525,27994,65535,65535,28603
43377,43599,15860,2799,980,2118,1021,1169
1338,10955,41291,40641,11092,2004,564,499
506,1921,11469,43078,44229,12720,1440,873
743,1888,5301,17226,34070,33865,17574,5860
741,1340,5255,17470,35346,35465,18030,5265
512,1105,3919,13076,25882,26852,13627,5055
14782,53270,52716,14310,1627,1557,667,145
13768,46609,46802,12785,1968,1887,217,1101
1372,9477,33041,32930,9069,2135,1208,1331
767,1972,4643,17299,34324,35130,17874,5874
16027,57166,57006,15680,1875,1622,669,1101
533,1381,778,454,986,1295,1044,1450
1348,8950,32140,32474,8965,1276,524,1036
40379,40701,14863,2653,803,1242,956,1528
695,1267,556,451,1009,4968,19633,37910
11178,40638,39356,11001,1435,1535,717,802
645,1159,932,710,953,4427,15364,31411
1065,760,922,4453,23985,65404,65535,57498
55847,56033,21139,3385,927,1510,634,1379
889,1849,5364,17730,34158,34023,17925,5596
36574,36989,13906,2280,848,1006,644,1088
833,1862,5134,17800,34396,35670,18417,5813
597,1056,703,532,1096,4681,17881,34829
50585,51141,19017,2783,638,731,675,1039
1235,1186,624,699,1330,5250,18621,37593
288,1674,751,399,1130,9932,41126,41987
826,1105,488,211,1128,1348,531,1391
959,1152,168,112,1244,1378,931,1383
1057,805,669,592,580,1006,609,1006
456,962,242,474,1660,13796,60497,65535
753,3360,20722,65535,65535,48810,18314,6250
860,1447,467,516,816,5480,22054,43315
57077,57801,21176,3236,977,2000,1013,778
818,1051,952,3746,24457,58603,57405,24276
939,1403,502,747,1260,3489,13398,26602
43005,43036,16072,2567,1088,1546,597,1230
1483,9544,34661,35028,9843,2891,872,767
774,1999,17333,64983,64935,21077,19664,36484
975,1095,313,566,1357,8058,28775,29087
523,1319,285,539,990,1147,522,394
44627,44882,16503,2670,1058,1325,873,1446
791,1578,750,726,1404,3494,14275,27622
37815,37947,14504,5068,17390,42172,41483,17589
797,765,1222,412,1128,7481,30561,31167
1061,1303,431,388,998,1915,452,1121
1191,8214,28658,28140,8020,2080,853,1087
987,1882,5080,17554,34776,34969,17458,5095
837,1369,470,457,1186,1546,752,1005
952,1683,431,402,789,4555,16839,33211
1004,1638,932,420,1168,7427,30280,30230
1052,1023,740,668,1516,1180,731,901
37211,37869,14249,2332,582,1022,587,564
892,1182,632,4247,21732,53140,52077,22073
13432,46569,46317,12985,1722,898,558,519
914,1443,4490,14595,28499,28960,14916,4769
1197,1624,536,4187,22752,57235,56107,23792
1307,10420,37184,36916,10326,1997,487,512
728,936,874,4872,26478,64240,64275,26734
900,1854,494,337,971,1442,649,1068
11445,40911,40336,10662,1891,1626,862,1051
789,1676,3928,15227,29235,38907,56418,46525
757,1568,4289,15642,30245,31735,16251,4824
922,1355,445,367,1035,4796,19614,38637
692,2008,711,684,1469,7357,30581,31582
587,1432,791,3679,18980,47230,45581,19666
630,1441,521,538,874,7229,25734,25702
59554,60008,22445,3411,807,1435,576,824
797,8117,25633,25097,7355,2585,447,936
1229,1414,484,766,1386,5679,20251,40036
849,2092,15540,58220,58082,16106,1044,940
1021,2072,5023,17360,34010,34483,18177,5175
953,1810,681,505,625,1242,805,1456
926,1405,524,557,447,1891,565,726
9893,36105,39156,29905,41330,40795,21060,5740
1111,1519,5535,19836,39310,39447,19811,6167
647,1288,401,579,1158,1206,615,757
1170,800,505,587,1284,4929,19860,38107
574,752,946,439,1462,4749,19137,36927
352,1985,5744,19745,39056,39515,20027,5608
12882,45149,47727,25727,27847,27488,13988,4515
1235,9194,32805,32700,8796,2705,657,718
14926,53691,52846,14854,1616,1498,669,910
812,1742,751,718,1285,879,627,983
48987,47812,18301,2569,1220,1243,839,381
1690,10408,36847,37598,10139,1887,559,1634
962,1926,4735,15719,30415,30777,15650,4887
876,1354,419,869,1103,1238,1180,1218
776,1694,4553,18106,47479,65535,60364,22981
1273,11343,41098,40645,11321,1574,479,645
784,1115,900,4996,27064,65535,65004,26920
10995,37456,37689,10241,2423,10878,41372,41595
1089,926,811,454,1167,1246,564,932
670,1831,5517,19336,39168,39541,20357,6561
629,1750,681,692,836,1554,1195,889
871,7123,26071,26044,7379,1751,532,1200
778,1451,5357,19921,39420,39056,19809,5784
47938,48282,17064,2753,1545,1287,1052,841
11142,40269,39588,11049,2149,925,715,1129
669,1187,514,415,807,5148,18976,37959
56791,57888,26131,22795,39499,40449,20275,5873
732,1330,655,247,1568,5175,22279,43593
1221,1439,1013,4142,21623,51508,50986,21472
15347,62097,65535,43264,9527,1531,841,965
853,962,750,268,890,3728,14022,27714
1529,11255,41159,40383,11041,1979,792,798
457,1578,491,597,1018,4054,12880,25500
982,1298,714,638,1408,4801,17856,34900
416,1675,4761,15861,31376,31827,16057,4813
1278,1319,296,371,1279,4206,18010,34208
841,1139,691,540,1380,5297,20915,40783
1188,7110,24039,23980,7039,1727,1101,775
62785,63523,23133,3708,1051,1394,686,1343
936,1824,4126,13243,26866,27079,14196,4504
16472,59380,58241,16048,2340,655,317,1154
959,10900,38744,38555,10565,1885,628,1305
842,1760,394,664,1028,7774,26804,26164
610,1453,4162,13860,27127,27754,13986,4098
1423,9365,34524,34704,9391,2335,1042,1055
15221,53549,53192,14446,1355,1228,551,707
